customer_id,age,gender,purchase_count,total_spent,avg_order_value,days_since_last_purchase,website_visits_30d,cart_adds_30d,discount_usage_rate,support_tickets_90d,customer_tenure_days,preferred_channel,region,returned_90d
C00001,22,Male,11,228.45,20.77,65,6.0,2,0.168,1,1202,Store,North,1
C00002,55,Female,8,819.22,102.4,48,4.0,5,0.143,1,1415,Web,South,1
C00003,49,Female,2,519.88,259.94,54,8.0,3,0.051,0,479,Mobile,North,0
C00004,39,Female,5,901.09,180.22,53,7.0,2,0.104,0,1262,Mobile,Central,0
C00005,38,Male,6,1004.03,167.34,72,8.0,4,,0,1411,Web,South,0
C00006,59,Male,6,620.93,103.49,87,12.0,3,0.115,0,840,Store,South,0
C00007,22,Female,8,732.13,91.52,92,9.0,2,0.596,0,257,Mobile,Central,0
C00008,51,Female,4,435.48,108.87,39,6.0,1,0.424,0,334,Web,North,0
C00009,27,Female,8,1084.64,135.58,42,4.0,7,0.47,0,248,Web,North,1
C00010,22,Female,9,1493.15,165.91,37,8.0,7,0.137,0,1284,Store,Central,1
C00011,43,Male,8,285.19,35.65,52,9.0,1,0.375,0,1368,Mobile,Central,0
C00012,64,Male,4,1446.43,361.61,182,10.0,5,0.211,1,357,Mobile,South,0
C00013,53,Male,7,1176.44,168.06,39,13.0,3,0.108,0,388,Store,North,0
C00014,54,Male,11,1380.04,125.46,79,9.0,1,0.224,2,276,Web,Central,1
C00015,52,Male,11,1841.12,167.37,80,8.0,0,0.236,2,466,Mobile,South,1
C00016,55,Female,11,621.79,56.53,67,9.0,3,0.27,0,248,Mobile,South,0
C00017,42,Male,6,1676.08,279.35,8,4.0,4,0.406,0,566,Web,North,1
C00018,24,Male,4,1859.6,464.9,49,9.0,6,0.187,0,1303,Web,South,0
C00019,58,Female,7,315.06,45.01,72,3.0,4,0.085,0,600,Web,South,1
C00020,39,Male,7,1006.37,143.77,28,10.0,1,0.336,3,1291,Web,South,1
C00021,42,Male,6,980.5,163.42,10,5.0,1,0.227,0,1150,Mobile,North,1
C00022,35,Female,6,1929.44,321.57,73,6.0,2,0.218,3,739,Store,Central,0
C00023,26,Male,10,3567.96,356.8,89,7.0,3,0.469,0,190,Store,South,0
C00024,62,Female,10,1389.76,138.98,46,8.0,2,0.363,2,899,Mobile,North,1
C00025,55,Female,10,2771.14,277.11,34,5.0,4,0.536,1,315,Store,South,1
C00026,48,Male,6,542.03,90.34,126,9.0,5,0.405,1,535,Mobile,South,0
C00027,37,Female,6,1309.9,218.32,91,8.0,2,0.146,0,1430,Store,South,0
C00028,57,Female,7,887.78,126.83,21,6.0,2,0.603,1,1190,Mobile,Central,1
C00029,44,Female,7,1233.92,176.27,57,15.0,3,0.191,0,918,Mobile,South,0
C00030,39,Female,5,1404.42,280.88,24,4.0,2,0.308,0,1118,Web,Central,1
C00031,39,Female,7,1555.16,222.17,40,14.0,2,0.326,0,31,Mobile,South,1
C00032,28,Female,7,740.7,105.81,113,8.0,1,0.183,1,1053,Web,North,0
C00033,22,Female,8,835.94,104.49,114,5.0,3,0.06,0,820,Store,Central,0
C00034,44,Male,9,1479.29,164.37,33,8.0,0,0.058,1,1055,Mobile,South,1
C00035,60,Female,10,1126.42,112.64,77,11.0,6,0.585,1,441,Web,North,0
C00036,21,Female,4,581.76,145.44,22,14.0,5,0.098,0,375,Mobile,South,0
C00037,59,Female,5,851.55,170.31,177,16.0,1,0.288,1,1070,Web,Central,0
C00038,57,Male,6,1750.61,291.77,10,6.0,2,0.279,1,1293,Mobile,North,1
C00039,31,Male,7,467.6,66.8,39,10.0,5,0.199,2,1415,Web,South,0
C00040,48,Female,10,911.65,91.16,77,4.0,1,0.478,0,694,,Central,0
C00041,25,Female,8,350.15,43.77,25,5.0,2,0.337,0,359,Store,South,1
C00042,54,Male,7,1845.46,263.64,21,8.0,2,0.102,0,1029,Store,South,1
C00043,51,Male,6,3676.71,612.78,50,6.0,3,0.385,1,70,Mobile,Central,0
C00044,35,Male,6,2147.76,357.96,31,10.0,5,0.444,0,449,Mobile,North,0
C00045,21,Female,10,650.94,65.09,8,6.0,3,0.242,2,263,Store,North,0
C00046,64,Male,7,648.54,92.65,50,8.0,2,0.454,2,720,Web,South,0
C00047,39,Female,9,1785.49,198.39,75,4.0,0,0.296,0,122,Web,Central,0
C00048,60,Male,4,1651.83,412.96,44,5.0,2,0.248,0,355,Web,South,1
C00049,50,Male,9,2337.06,259.67,49,2.0,3,0.377,1,427,Mobile,South,1
C00050,55,Male,7,942.8,134.69,67,9.0,3,0.13,0,1391,Web,North,1
C00051,54,Female,5,417.78,83.56,146,,2,0.027,0,647,Mobile,North,0
C00052,27,Female,5,957.61,191.52,37,6.0,4,0.664,0,830,Web,South,1
C00053,35,Female,4,865.24,216.31,64,11.0,3,0.035,1,1476,Store,Central,0
C00054,40,Female,7,3219.53,459.93,49,5.0,4,0.085,0,160,Mobile,South,1
C00055,41,Male,5,1416.63,283.33,20,7.0,4,0.316,1,1136,Mobile,South,0
C00056,20,Female,7,229.64,32.81,83,14.0,3,0.24,2,1351,Web,North,0
C00057,44,Male,7,1451.04,207.29,122,7.0,4,0.408,0,1136,Mobile,North,0
C00058,25,Male,10,1856.54,185.65,75,9.0,3,0.364,2,1130,Mobile,South,1
C00059,53,Male,10,1683.61,168.36,5,5.0,5,0.25,2,509,Web,South,1
C00060,50,Male,7,1622.95,231.85,39,9.0,1,0.475,0,648,Web,North,0
C00061,62,Female,5,1113.04,222.61,74,8.0,3,0.485,0,139,Mobile,North,0
C00062,53,Female,5,837.12,167.42,100,7.0,3,0.533,0,436,Mobile,North,0
C00063,35,Female,7,398.37,56.91,12,6.0,2,0.236,0,35,Mobile,Central,1
C00064,64,Female,8,2432.36,304.04,20,3.0,1,0.22,1,901,Web,North,1
C00065,37,Female,7,1337.11,191.02,65,,8,0.323,0,852,Mobile,North,1
C00066,33,Male,8,661.36,82.67,54,,3,,0,1294,Mobile,North,1
C00067,61,Male,4,1035.78,258.94,50,8.0,6,0.442,1,1483,Store,North,0
C00068,35,Male,8,401.39,50.17,140,3.0,2,0.362,1,900,Store,Central,0
C00069,21,Female,14,1029.74,73.55,149,,4,0.466,1,1467,Mobile,South,0
C00070,40,Female,7,2021.1,288.73,24,7.0,1,0.585,0,41,Mobile,Central,0
C00071,56,Male,5,1455.06,291.01,9,8.0,5,0.61,0,233,Mobile,South,1
C00072,27,Female,8,1817.58,227.2,48,7.0,0,0.522,1,485,Mobile,South,0
C00073,40,Female,7,1735.05,247.86,82,11.0,3,0.33,1,1199,Mobile,South,1
C00074,24,Female,10,1266.42,126.64,107,12.0,2,0.72,0,961,Mobile,South,0
C00075,50,Female,3,875.63,291.88,38,11.0,2,0.402,0,1226,Mobile,North,1
C00076,40,Female,6,750.6,125.1,29,8.0,4,0.23,0,686,Store,Central,1
C00077,33,Female,11,2329.78,211.8,68,11.0,1,0.153,1,1099,Mobile,North,1
C00078,28,Female,12,1367.22,113.94,43,6.0,6,0.208,2,831,Mobile,South,0
C00079,45,Male,5,1303.61,260.72,52,10.0,3,0.504,2,189,Store,South,0
C00080,50,Female,8,1362.11,170.26,75,13.0,2,0.132,0,548,Web,South,1
C00081,63,Male,6,803.78,133.96,45,8.0,2,0.285,1,1254,Mobile,Central,1
C00082,38,Female,7,1253.99,179.14,15,4.0,3,0.114,1,97,Web,North,1
C00083,25,Male,5,616.14,123.23,29,7.0,1,0.194,2,928,Store,Central,0
C00084,57,Male,7,705.25,100.75,31,8.0,2,0.259,0,1441,Mobile,South,1
C00085,48,Male,6,1492.99,248.83,31,8.0,4,0.2,2,788,Web,South,1
C00086,51,Male,7,1336.83,190.98,8,16.0,3,0.175,2,774,Web,South,1
C00087,22,Male,9,1522.59,169.18,164,10.0,4,0.2,0,1170,Mobile,Central,0
C00088,32,Male,12,1658.46,138.21,20,10.0,2,0.453,0,340,Store,North,1
C00089,54,Male,5,809.5,161.9,85,,1,0.247,1,567,Mobile,South,0
C00090,57,Male,6,981.37,163.56,26,6.0,1,0.328,0,314,Web,North,1
C00091,38,Female,6,1452.08,242.01,38,7.0,4,0.41,1,730,Mobile,South,0
C00092,56,Female,9,565.12,62.79,51,7.0,2,0.145,2,1434,Web,North,1
C00093,58,Female,7,77.37,11.05,32,14.0,3,0.262,1,754,Mobile,South,0
C00094,36,Male,9,280.83,31.2,132,4.0,5,0.079,0,403,Store,North,0
C00095,61,Male,6,686.18,114.36,318,3.0,2,0.094,1,1476,Web,North,0
C00096,31,Female,9,818.5,90.94,9,5.0,2,0.118,1,929,Web,North,1
C00097,29,Male,8,1223.03,152.88,102,14.0,2,0.355,0,579,Mobile,Central,0
C00098,50,Male,7,1874.55,267.79,58,7.0,5,0.06,1,1162,,North,0
C00099,48,Female,8,851.18,106.4,39,5.0,3,0.415,0,394,Store,South,0
C00100,24,Female,10,648.97,64.9,91,4.0,5,0.083,0,876,Mobile,South,1
C00101,57,Male,8,399.53,49.94,108,5.0,4,,0,159,Web,North,0
C00102,27,Female,7,598.17,85.45,47,9.0,4,0.245,1,1426,Web,South,1
C00103,56,Male,7,591.45,84.49,121,9.0,2,0.278,1,1017,Web,Central,0
C00104,18,Female,4,1069.56,267.39,6,8.0,0,0.159,0,802,Web,South,0
C00105,56,Male,10,593.41,59.34,82,10.0,1,0.442,0,1247,Mobile,Central,0
C00106,55,Male,10,790.42,79.04,52,5.0,4,0.406,0,177,Web,North,1
C00107,55,Female,10,735.9,73.59,60,14.0,4,0.235,0,1205,Mobile,South,0
C00108,49,Male,5,998.57,199.71,100,5.0,2,0.263,0,385,Web,South,0
C00109,40,Female,7,1404.64,200.66,76,10.0,3,0.098,0,877,Mobile,South,0
C00110,51,Male,5,1252.62,250.52,167,10.0,2,,0,663,Store,South,0
C00111,31,Female,7,516.35,73.76,186,8.0,4,0.175,1,1158,Store,North,0
C00112,55,Female,7,674.15,96.31,44,8.0,4,0.164,0,939,Store,North,1
C00113,44,Female,8,1571.57,196.45,17,12.0,4,0.289,0,53,Web,South,1
C00114,40,Female,7,1804.82,257.83,50,7.0,6,0.495,0,619,Web,North,0
C00115,42,Male,6,357.17,59.53,24,10.0,6,0.359,0,336,Web,North,1
C00116,45,Female,7,319.18,45.6,36,8.0,1,0.357,0,736,Mobile,South,0
C00117,19,Male,8,2374.51,296.81,56,13.0,5,0.345,0,1093,Store,South,1
C00118,24,Female,8,402.98,50.37,12,9.0,4,0.519,1,394,Mobile,South,1
C00119,29,Female,6,559.65,93.28,73,3.0,2,0.116,3,407,Mobile,South,0
C00120,23,Female,7,804.87,114.98,48,5.0,4,0.338,2,800,Mobile,North,0
C00121,39,Female,9,544.02,60.45,28,8.0,8,0.09,0,734,Store,Central,1
C00122,50,Female,6,567.59,94.6,3,13.0,0,0.629,0,1425,Mobile,Central,1
C00123,49,Male,10,569.31,56.93,98,7.0,2,0.475,0,1025,Mobile,South,1
C00124,40,Female,12,1067.94,89.0,109,7.0,1,0.324,1,1327,Mobile,North,1
C00125,59,Female,8,268.78,33.6,101,7.0,4,0.384,2,245,Mobile,South,0
C00126,45,Male,10,1572.05,157.2,24,9.0,3,0.164,0,1080,Web,Central,1
C00127,21,Female,6,319.71,53.28,68,10.0,3,0.603,2,497,Web,South,0
C00128,54,Male,9,2214.28,246.03,112,6.0,0,0.473,0,135,Web,North,1
C00129,45,Male,6,692.98,115.5,64,11.0,1,0.154,1,924,Mobile,North,0
C00130,48,Male,6,650.95,108.49,60,8.0,0,0.181,0,735,Store,South,1
C00131,45,Male,4,221.56,55.39,153,5.0,3,0.126,0,115,Web,Central,0
C00132,44,Female,14,201.96,14.43,146,7.0,1,0.136,1,992,Mobile,South,0
C00133,22,Female,5,923.77,184.75,36,7.0,5,0.41,0,1421,Mobile,Central,1
C00134,44,Female,6,218.34,36.39,31,10.0,3,0.201,1,755,Mobile,South,1
C00135,56,Female,8,552.43,69.05,26,8.0,2,0.247,1,845,Mobile,Central,0
C00136,32,Male,9,1358.38,150.93,8,11.0,4,0.413,2,953,Mobile,South,0
C00137,46,Male,3,1049.68,349.89,131,4.0,5,0.223,1,1139,Store,Central,0
C00138,19,Male,7,756.05,108.01,63,7.0,5,0.351,0,95,Store,Central,0
C00139,34,Female,10,981.82,98.18,37,5.0,3,0.217,0,397,Web,North,1
C00140,38,Male,7,1378.69,196.96,55,11.0,6,0.091,0,65,Mobile,South,0
C00141,65,Female,7,680.09,97.16,139,10.0,3,0.624,0,32,Mobile,South,0
C00142,28,Female,7,1544.89,220.7,13,16.0,3,,1,956,Web,North,1
C00143,31,Female,3,922.85,307.62,128,7.0,1,0.234,0,794,Web,South,0
C00144,37,Female,12,1759.56,146.63,51,8.0,7,0.357,0,222,Mobile,North,1
C00145,65,Male,8,975.92,121.99,72,7.0,2,0.211,0,162,Mobile,North,1
C00146,58,Female,12,321.46,26.79,75,5.0,2,0.199,1,581,Web,North,1
C00147,19,Female,5,543.06,108.61,145,11.0,4,0.132,2,938,Mobile,North,0
C00148,29,Female,5,896.46,179.29,25,4.0,1,0.344,1,1356,Store,North,1
C00149,57,Female,8,3572.37,446.55,209,,3,0.337,1,1255,Web,Central,0
C00150,20,Female,8,513.61,64.2,16,7.0,5,0.183,0,808,Store,South,0
C00151,59,Female,6,3064.6,510.77,29,7.0,3,0.392,0,531,Store,North,1
C00152,31,Male,5,1640.14,328.03,84,8.0,3,0.391,1,596,Mobile,Central,0
C00153,62,Female,5,1686.84,337.37,133,13.0,0,0.347,0,1222,Web,Central,0
C00154,32,Female,9,1382.29,153.59,26,11.0,6,0.266,0,427,Web,South,1
C00155,38,Male,6,2903.7,483.95,14,6.0,1,0.321,1,653,Store,North,0
C00156,49,Female,3,577.31,192.44,138,11.0,1,0.131,1,1187,Mobile,South,0
C00157,24,Male,6,1606.98,267.83,38,7.0,1,0.301,0,720,Web,North,1
C00158,44,Female,5,370.22,74.04,40,12.0,6,0.189,0,1159,Mobile,South,1
C00159,42,Male,9,581.63,64.63,57,10.0,6,0.287,0,256,Mobile,North,0
C00160,55,Male,6,1447.87,241.31,49,12.0,4,0.111,0,93,Web,North,1
C00161,65,Female,7,1710.37,244.34,85,8.0,1,0.177,1,1461,Mobile,Central,0
C00162,49,Male,7,1217.02,173.86,17,9.0,4,0.206,1,399,Mobile,South,1
C00163,37,Male,8,187.23,23.4,12,6.0,3,0.134,0,890,Web,South,1
C00164,37,Male,7,503.24,71.89,71,10.0,0,0.506,0,1265,Web,Central,1
C00165,38,Female,4,321.8,80.45,74,7.0,5,0.228,0,1499,Web,South,0
C00166,57,Female,4,861.31,215.33,85,9.0,3,0.254,0,872,Mobile,South,0
